ROCO_78739,Lateral radiograph of the spine showing a large mass in the lumbar spine.,"20-minute film of intravenous urography shows crossed, fused renal ectopia in the left ilio-lumbar region."
ROCO_66766,"Chest X-ray showing a large, well-defined, hypodense lesion in the right upper lobe.",Injection of contrast medium via the port catheter. Paravasal and intrabronchial drainage of the applied contrast.
ROCO_23290,Echocardiogram showing a large left ventricular mass. LA: left atrium; LV: left ventricle; LV: left ventricular. The mass is located in the left ventricular apex. The arrow indicates the location of,"Trans oesophageal echo demonstrating right ventricular mass (arrows) RA: right atrium, LA: left atrium, LV: left ventricle."
ROCO_59505,MRI brain showing a large mass in the left parietal lobe.,Contrast enhancing infarction in the frontal lobe (arrow).
ROCO_81227,Axial CT scan showing a large mass in the right lower lobe of the liver. The mass is hypodense and has a high signal intensity. The mass is hypodense and has a high signal intensity. The mass is hypodense,One month postoperative CT chest (axial view) showing normal tracheal walls and lumen.
ROCO_11335,CT scan of the abdomen showing a large mass in the right lower lobe.,"MRI cine turbo-flash images acquired on a 1.5 T scanner(Magnetom Vision-Siemens) in four-chamber (3A) and transverse plane, short-axis view (Fig. 4). These images didn't show congenital heart disease."
ROCO_53475,Chest X-ray showing a large left-sided pleural effusion.,"Chest X-ray film 2 hours after double lung transplantation before surfactant replacement therapy, revealing edema of transplanted lungs."
ROCO_66127,Panoramic radiograph showing the presence of a large radiopaque lesion in the left maxillary sinus.,Panoramic radiograph six months after therapy. No root resorption could be observed.
ROCO_21154,Ultrasonography of the right kidney showing a large cystic lesion in the right kidney.,Primary high contrast version of the smoothed image from Fig. 2.
ROCO_76172,MRI of the brain showing a large mass in the right temporal lobe.,"Chasing leads on brain tumors.Information on what causes brain tumors is fragmented; however, new data may tie together clues about lead exposure and a predisposition to develop meningioma."
ROCO_13003,Chest CT scan showing a large mass in the right lower lobe.,Computed Tomography Scan of the chest showed mediastinal lymphadenopathy and multiple bilateral pulmonary nodules.
ROCO_40307,,"Escherichia coli (visualized with transmission electron microscopy, above) was used as a model system to predict the regulatory DNA targets of sigma factors, bacterial proteins induced by stress. Image: CDC/Elizabeth H. White, M.S"
ROCO_18834,Postoperative MRI showing the reduction of the spinal cord compression.,"First digital image in a side bending sequence, cursor-marked with external (tracking) and internal (visual) templates."
ROCO_13657,Coronary angiogram showing the left coronary artery (arrow) with a large stenosis.,Upper venous digital subtraction cavography which indicates absence of the right superior vena cava and a persistent left superior vena cava (PLSVC) in the left lateral part of the thorax (white arrow).
ROCO_13993,Abdominal X-ray showing a large mass in the right lower quadrant.,gastric cast on plain abdominal film.
ROCO_68579,CT scan of abdomen showing a large mass in the right kidney. The mass is hypodense and extends to the right side of the abdomen. The mass is hypodense and extends to the right side of the abdomen. The mass is hyp,"Dry peritonitis: CT scan showing diffuse mesenteric strands, mesenteric nodes and omental thickening."
ROCO_44831,CT scan of the abdomen showing a large mass in the right kidney.,CT of the upper abdomen showing large necrotic inflammatory mass in the lesser sac and involving the pancreas. This was due to perforating gastric TB ulcer.
ROCO_15246,"Ultrasonography of the abdomen showing a large, well-defined, hypoechoic mass in the right lower quadrant.","Pancreatic lesion of ultrasonic finding. Abdominal ultrasound revealed an irregular contoured hypoechogenic lesion of 6.6 cm × 4.4 cm in the head of pancreas (M), with a calcification at the edge of the mass (fine arrow)."
